Wikidata_ID,name_en,name_pl
https://www.wikidata.org/wiki/Q2306091,sociologist,socjolog
https://www.wikidata.org/wiki/Q14284,solicitor,solicitor
https://www.wikidata.org/wiki/Q4178004,publicist,specjalista do spraw public relations
https://www.wikidata.org/wiki/Q175301,speechwriter,speechwriter
https://www.wikidata.org/wiki/Q2066131,athlete,sportowiec
https://www.wikidata.org/wiki/Q16827718,confessor,spowiednik
https://www.wikidata.org/wiki/Q2732142,statistician,statystyk
https://www.wikidata.org/wiki/Q10873124,chess player,szachista
https://www.wikidata.org/wiki/Q3499072,chef,szef kuchni
https://www.wikidata.org/wiki/Q9352089,spy,szpieg
https://www.wikidata.org/wiki/Q4594605,magistrate,sędzia
https://www.wikidata.org/wiki/Q859528,association football referee,sędzia piłki nożnej
https://www.wikidata.org/wiki/Q5716684,dancer,tancerz
https://www.wikidata.org/wiki/Q1349880,thaumaturge,taumaturg
https://www.wikidata.org/wiki/Q10379007,theatrologist,teatrolog
https://www.wikidata.org/wiki/Q1234713,theologian,teolog
https://www.wikidata.org/wiki/Q19831149,conspiracy theorist,teoretyk konspiracji
https://www.wikidata.org/wiki/Q15962340,literary theorist,teoretyk literatury
https://www.wikidata.org/wiki/Q16031530,music theorist,teoretyk muzyki
https://www.wikidata.org/wiki/Q15994177,political theorist,teoretyk polityki
https://www.wikidata.org/wiki/Q17391638,art theorist,teoretyk sztuki
https://www.wikidata.org/wiki/Q3077353,trainer,trener
https://www.wikidata.org/wiki/Q333634,translator ,tłumacz
https://www.wikidata.org/wiki/Q2518689,healer,uzdrowiciel
https://www.wikidata.org/wiki/Q2643890,vocalist,wokalista
https://www.wikidata.org/wiki/Q2085381,publisher,wydawca
https://www.wikidata.org/wiki/Q9379869,lecturer,wykładowca
https://www.wikidata.org/wiki/Q191808,nun,zakonnica
https://www.wikidata.org/wiki/Q548320,Catholic friar,zakonnik
https://www.wikidata.org/wiki/Q1229025,typographer,zecer
https://www.wikidata.org/wiki/Q350979,zoologist,zoolog
https://www.wikidata.org/wiki/Q4991371,soldier,żołnierz
https://www.wikidata.org/wiki/Q15253558,activist,aktywista
https://www.wikidata.org/wiki/Q1250916,warrior,wojownik
https://www.wikidata.org/wiki/Q9149093,mountaineer ,alpinista
https://www.wikidata.org/wiki/Q245068,comedian,komik
https://www.wikidata.org/wiki/Q4220878,film scholar,filmoznawca
https://www.wikidata.org/wiki/Q175151,printer,drukarz
https://www.wikidata.org/wiki/Q12119633,immunologist,immunolog
https://www.wikidata.org/wiki/Q974144,educator,edukator
https://www.wikidata.org/wiki/Q901222,tutor,korepetytor
