group_id,Entity_Name,Entity Acronym,Alternative_form_of_name,Related_Entity_Sub_Entity,Related_Entity_Main_Entity,Located_Location,Grouped,entity_as_author,simple_name_loc
20,Agencja Informacyjna S,,,,2004|2018,Warszawa,bn_books-210-%c-90072|bn_books-210-%c-104785|bn_books-210-%c-22624|bn_books-210-%c-343|bn_books-210-%c-84726|bn_books-210-%c-321|bn_books-210-%c-831|bn_books-210-%c-16180|bn_books-210-%c-33224|bn_books-210-%c-108440|bn_books-210-%c-99281|bn_books-210-%c-84736|bn_books-210-%c-81296|bn_books-210-%c-30071,,warszawa|agencjainformacyjnas
21,Agencja Ludowa Wieści,,,,,Warszawa,bn_books-210-%c-66643,,agencjaludowawieści|warszawa
22,Agencja Solidarności Rolników,,,,,Rzeszów,bn_books-210-%c-78755,,agencjasolidarnościrolników|rzeszów
23,Agencja Solidarności Walczącej,,,,2003,Wrocław,bn_books-210-%c-94039|bn_books-210-%c-94027|bn_books-210-%c-50764,,wrocław|agencjasolidarnościwalczącej
24,Agencja Wydawnicza Solidarności Walczącej,,,,2003,Wrocław|Trójmiasto|S. l.,bn_books-210-%c-50876|bn_books-210-%c-50909|bn_books-210-%c-43335|bn_books-210-%c-63753|bn_books-210-%c-83339|bn_books-210-%c-88126|bn_books-210-%c-107084|bn_books-210-%c-106794|bn_books-210-%c-63962|bn_books-210-%c-98849|bn_books-210-%c-85501|bn_books-210-%c-110762|bn_books-210-%c-19127|bn_books-210-%c-30413|bn_books-210-%c-88571|bn_books-210-%c-96551|bn_books-210-%c-26168|bn_books-210-%c-86379|bn_books-210-%c-92514|bn_books-210-%c-88549|bn_books-210-%c-44373|bn_books-210-%c-88597|bn_books-210-%c-18586|bn_books-210-%c-18806|bn_books-210-%c-88114|bn_books-210-%c-50841|bn_books-210-%c-96563|bn_books-210-%c-50072,,wrocław|sl|agencjawydawniczasolidarnościwalczącej|trójmiasto
27,Akademia Górniczo-Hutnicza,AGH,AGH,,,Kraków,bn_books-210-%g-66574,,krak|agh
29,Akademia Przydrożna,,,,,Piołunówka,bn_books-210-%c-89683,,piołunówka|akademiaprzydrożna
30,Akademia Sztuk Wszelakich,,Akademya Sztuk Wszelakich,,,Wrocław,bn_books-210-%c-71147|bn_books-210-%c-26637|bn_books-210-%c-55731|bn_books-210-%c-99589|bn_books-210-%c-8070,,wrocław|akademyasztukwszelakich|akademiasztukwszelakich
33,Akcent,,,,,Elbląg,bn_books-210-%c-94886,,akcent|elbląg
34,Akces,,,,,Warszawa,bn_books-210-%g-17731|bn_books-210-%c-51486|bn_books-210-%g-94362|bn_books-210-%c-28060|bn_books-210-%c-367,,warsz|akces|warszawa
37,Aku-Aku,,Aku-Aku hudební skupina,,,,cz_articles-610-$$a-2394039,,akuakuhudebnískupina
38,Alfa,,,,,Kraków,bn_books-210-%c-550|bn_books-210-%c-34543|bn_books-210-%c-59805,,alfa|kraków
39,Alternativ,,,,,Gdańsk,bn_books-210-%c-21685,,gdańsk|alternativ
40,Alternatywa,,,,,S. l.,bn_books-210-%c-11588,,sl|alternatywa
41,Alternatywy,,,525|1028|1340|1841|855|202,,Warszawa|Kraków,bn_books-210-%c-83907|bn_books-210-%c-89989|bn_books-210-%c-35173|bn_books-210-%c-30601|bn_books-210-%c-33866|bn_books-210-%c-39644|bn_books-210-%c-17330|bn_books-225-%f-35173|bn_books-210-%c-78160,,kraków|warszawa|alternatywy
44,Amnestia,,,,,Warszawa,bn_books-210-%c-50656|bn_books-210-%c-80739,,amnestia|warszawa
45,Amnesty International,,,,,,cz_articles-610-$$a-2390958|cz_articles-610-$$a-2390204,,amnestyinternational
46,Aneks,,,,,Londyn,bn_books-210-%c-13931|bn_books-210-%c-52847|bn_books-210-%c-1851|bn_books-210-%c-3365|bn_books-210-%c-98213|bn_books-210-%c-13954|bn_books-210-%c-37433,,londyn|aneks
47,Antyk,,,,514,Lublin|etc.|Kęty|Warszawa,bn_books-210-%c-87027|bn_books-210-%c-25446|bn_books-210-%c-27433|bn_books-210-%c-87504|bn_books-210-%c-56601|bn_books-210-%c-104928|bn_books-210-%c-87464|bn_books-210-%c-103972|bn_books-210-%c-28100|bn_books-210-%c-10765|bn_books-210-%c-73076|bn_books-210-%c-6448|bn_books-210-%c-39212|bn_books-210-%c-42314|bn_books-210-%c-91242|bn_books-210-%c-80682|bn_books-210-%c-53239|bn_books-210-%c-6493|bn_books-210-%c-99531|bn_books-210-%c-4703|bn_books-210-%c-6473|bn_books-210-%c-28561|bn_books-210-%c-72952|bn_books-210-%c-79154|bn_books-210-%c-10791|bn_books-210-%c-28082|bn_books-210-%c-55659|bn_books-210-%c-17186|bn_books-210-%c-23859|bn_books-210-%c-1999,,lublin|kęty|antyk|warszawa|lublinetc
51,Anty-MON,,AntyMON,,,Gdańsk,bn_books-210-%c-64420|bn_books-210-%g-103081,,gdańsk|antymon|gdań
53,Apel,,,,,S. l.|S.l.,bn_books-210-%c-3521|bn_books-210-%c-54832,,apel|sl
54,Archikonfraternia Literacka,AKL,AKL,,,Warszawa,bn_books-210-%c-28605|bn_books-210-%c-66073|bn_books-210-%c-66042|bn_books-210-%c-57620,,archikonfraternialiteracka|warszawa|aklarchikonfraternialiteracka
55,Archiwum,,,,,Warszawa,bn_books-210-%c-104822|bn_books-210-%c-103556|bn_books-210-%c-94211|bn_books-210-%c-78674|bn_books-210-%c-9160,,archiwum|warszawa
56,Arka,,,,,Kraków,bn_books-210-%c-77357,,kraków|arka
57,Arka,,,,,Warszawa,bn_books-210-%c-105776|bn_books-210-%c-97032,,warszawa|arka
